Subpopulation 1,Subpopulation 2,Subpopulation 3
489.39605108879493,534.3329162723214,476.2710326388835
489.3960468352095,534.3329170757585,476.2710360890319
489.39604343468204,534.3329175757625,476.27103898955534
489.39604058639816,534.3329179203738,476.2710414932279
489.3960382494109,534.3329181297438,476.2710436208452
489.39603638786036,534.332918218812,476.2710453933275
489.3960348109723,534.3329182670567,476.27104692197094
489.3960334906959,534.3329182861638,476.2710482231401
489.39603241242213,534.332918279054,476.2710493085238
489.3960314927266,534.3329182624029,476.2710502448704
489.3960307183873,534.3329182388537,476.271051042759
489.39603008646156,534.3329182086363,476.2710517049021
489.3960295520744,534.3329181752584,476.2710522726672
489.39602910003623,534.3329181399073,476.2710527600564
489.3960287301708,534.3329181025974,476.2710531672316
489.3960284211976,534.3329180650886,476.27105351371364
489.39602815844523,534.332918028594,476.2710538129607
489.39602794191353,534.3329179931135,476.2710540649728
489.3960277635089,534.332917959256,476.27105427723495
489.3960276110967,534.3329179279342,476.27105446096897
489.39602748455815,534.332917899157,476.27105461628474
489.39602738063877,534.3329178728867,476.2710547464743
489.39602729201613,534.3329178490384,476.27105485894526
489.39602721841396,534.3329178276089,476.27105495397694
489.3960271584491,534.3329178084806,476.2710550330702
489.39602710747056,534.3329177912584,476.271055101271
489.39602706510095,534.3329177759101,476.2710551589888
489.3960270144807,534.3329177593894,476.2710552261298
489.3960269554304,534.3329177416637,476.2710553029058
489.3960269015591,534.3329177251923,476.2710553732486
489.3960268528667,534.3329177099749,476.2710554371583
489.3960268093533,534.3329176960118,476.27105549463477
489.39602677101885,534.332917683303,476.2710555456781
489.39602673786334,534.3329176718482,476.2710555902883
489.39602670988677,534.3329176616478,476.2710556284654
489.3960266870892,534.3329176527014,476.2710556602093
489.39602666947053,534.3329176450094,476.27105568552
489.3960266570308,534.3329176385715,476.2710557043976
489.39602664977,534.3329176333879,476.27105571684206
489.39602664768825,534.3329176294584,476.27105572285336
489.39602665078536,534.332917626783,476.2710557224315
489.3960266590615,534.332917625362,476.2710557155765
489.3960266725165,534.3329176251951,476.2710557022884
489.3960266911505,534.3329176262824,476.27105568256707
489.39602671496345,534.3329176286239,476.2710556564126
489.3960267130264,534.3329176259391,476.27105566103444
489.39602670727317,534.3329176226819,476.27105567004486
489.39602670278316,534.3329176198838,476.27105567733304
489.39602669955633,534.3329176175447,476.271055682899
489.3960266975926,534.3329176156647,476.27105568674267
489.3960266968922,534.3329176142436,476.2710556888642
489.3960266974549,534.3329176132817,476.2710556892634
489.39602669928075,534.3329176127787,476.2710556879404
489.39602670236985,534.332917612735,476.2710556848952
489.3960267067221,534.3329176131501,476.2710556801277
489.3960267123376,534.3329176140244,476.271055673638
489.3960267192162,534.3329176153577,476.27105566542605
489.39602672735805,534.33291761715,476.27105565549186
489.396026736763,534.3329176194014,476.27105564383544
489.3960267474312,534.3329176221118,476.27105563045683
489.3960267593626,534.3329176252814,476.2710556153559
489.39602677255715,534.33291762891,476.2710555985328
489.39602678769495,534.3329176228978,476.2710555894071
489.396026790962,534.332917624724,476.27105558431373
489.3960267942291,534.3329176265503,476.2710555792204
489.3960267974962,534.3329176283767,476.27105557412705
489.39602680076325,534.3329176302029,476.27105556903365
489.3960268040304,534.3329176320292,476.2710555639403
489.39602680729746,534.3329176338555,476.2710555588469
489.39602681056454,534.3329176356817,476.27105555375357
489.3960268138316,534.332917637508,476.27105554866023
489.3960268170987,534.3329176393343,476.27105554356683
489.39602682036576,534.3329176411605,476.2710555384735
489.3960268236329,534.3329176429868,476.27105553338015
489.39602682689997,534.3329176448132,476.27105552828675
489.39602683016705,534.3329176466394,476.2710555231934
489.3960268334341,534.3329176484657,476.2710555181
489.3960268367012,534.332917650292,476.2710555130067
489.3960268399683,534.3329176521182,476.27105550791333
489.39602684323535,534.3329176539445,476.27105550281993
489.3960268449855,534.3329176549322,476.2710555000821
489.39602684507594,534.3329176550023,476.2710554999215
489.39602684516643,534.3329176550725,476.27105549976085
489.3960268452569,534.3329176551426,476.27105549960027
489.39602684534736,534.3329176552129,476.2710554994396
489.39602684543786,534.332917655283,476.271055499279
489.3960268455283,534.3329176553532,476.27105549911835
489.3960268456188,534.3329176554233,476.2710554989577
489.39602684570923,534.3329176554935,476.27105549879707
489.3960268457997,534.3329176555636,476.2710554986365
489.3960268458902,534.3329176556338,476.27105549847585
489.39602684598066,534.3329176557039,476.2710554983152
489.39602684607115,534.3329176557742,476.27105549815457
489.3960268461616,534.3329176558443,476.2710554979939
489.3960268462521,534.3329176559145,476.2710554978333
489.3960268463425,534.3329176559846,476.2710554976727
489.396026846433,534.3329176560547,476.27105549751207
489.39602684652345,534.3329176561249,476.2710554973514
