Subpopulation 1,Subpopulation 2,Subpopulation 3
489.396026852864,534.3329177099744,476.2710554371617
489.3960268304599,534.3329177028361,476.27105546670407
489.39602680935053,534.3329176960114,476.2710554946382
489.39602678953594,534.3329176895002,476.271055520964
489.3960267710161,534.3329176833024,476.27105554568146
489.39602675379103,534.3329176774183,476.27105556879064
489.3960267378607,534.3329176718478,476.27105559029155
489.3960267232252,534.3329176665908,476.2710556101841
489.3960267098844,534.3329176616473,476.27105562846833
489.3960266978383,534.3329176570174,476.27105564514426
489.396026687087,534.3329176527011,476.2710556602119
489.39602667763046,534.3329176486983,476.27105567367124
489.3960266694687,534.332917645009,476.27105568552224
489.3960266626017,534.3329176416335,476.27105569576497
489.3960266570294,534.3329176385713,476.2710557043994
489.39602665275186,534.3329176358227,476.27105571142545
489.3960266497691,534.3329176333876,476.27105571684325
489.3960266480811,534.3329176312662,476.2710557206527
489.39602664768785,534.3329176294583,476.2710557228539
489.3960266485894,534.3329176279639,476.27105572344675
489.39602665078564,534.3329176267831,476.27105572243124
489.3960266542766,534.3329176259158,476.2710557198075
489.39602665906244,534.3329176253621,476.2710557155754
489.396026665143,534.332917625122,476.27105570973504
489.39602667251825,534.3329176251954,476.2710557022864
489.3960266811883,534.3329176255824,476.27105569322936
489.3960266911531,534.3329176262829,476.27105568256405
489.39602670241266,534.3329176272969,476.2710556702904
489.396026714967,534.3329176286245,476.2710556564085
489.39602671637476,534.3329176277393,476.27105565588585
489.3960267130245,534.3329176259386,476.2710556610368
489.39602670999005,534.3329176242527,476.2710556657573
489.3960267072714,534.3329176226814,476.27105567004713
489.3960267048685,534.332917621225,476.2710556739064
489.3960267027815,534.3329176198833,476.27105567733514
489.3960267010102,534.3329176186564,476.27105568033335
489.3960266995548,534.3329176175442,476.2710556829009
489.39602669841514,534.3329176165469,476.27105568503794
489.3960266975913,534.3329176156642,476.27105568674443
489.39602669708324,534.3329176148964,476.27105568802034
489.396026696891,534.3329176142433,476.27105568886566
489.3960266970146,534.332917613705,476.27105568928044
489.3960266974539,534.3329176132814,476.27105568926464
489.3960266982091,534.3329176129727,476.27105568881825
489.39602669928007,534.3329176127786,476.2710556879413
489.3960267006668,534.3329176126994,476.2710556866338
489.3960267023694,534.3329176127348,476.27105568489577
489.3960267043878,534.332917612885,476.27105568272714
489.39602670672195,534.3329176131501,476.2710556801279
489.39602670937194,534.3329176135298,476.27105567709816
489.3960267123377,534.3329176140244,476.2710556736378
489.3960267156193,534.3329176146337,476.27105566974694
489.3960267192167,534.3329176153578,476.2710556654255
489.39602672312986,534.3329176161967,476.2710556606734
489.39602672735884,534.3329176171503,476.27105565549084
489.39602673190365,534.3329176182186,476.27105564987767
489.3960267367642,534.3329176194018,476.27105564383396
489.39602674194066,534.3329176206997,476.27105563735967
489.3960267474328,534.3329176221124,476.2710556304548
