Susceptible 1,Susceptible 2,Susceptible 3,Infected 1,Infected 2,Infected 3,Removed 1,Removed 2,Removed 3
284.8953846256783,310.7735835194911,277.23491780972415,244.76773092888834,263.77764873630133,238.15035608135068,59.09823219492948,63.799184461806824,57.50296164183025
277.2195440024451,302.5218103592438,269.7671809650061,249.38202218406522,269.04102985849255,242.61222961287564,62.04759752148723,67.04196543263893,60.366620063745785
269.61772205589654,294.3279328521655,262.3730197019134,253.87540311597127,274.1632020506008,246.9607158909515,65.052044430399,70.34558093192507,63.28437897017739
262.0985497851625,286.2043882377896,255.06030156310138,258.24013969896845,279.1354667584379,251.1879696997278,68.110105730456,73.70825877030362,66.25481975605314
254.670257950595,278.1628657258702,247.83660915917662,262.4690287543183,283.94979360330444,255.2866615186217,71.22022048036575,77.12813626302278,69.27642654472561
247.3406373427943,270.2142867749657,240.70918636490154,266.555428919054,288.5988475745953,259.250011390133,74.38074069532017,80.6032675739582,72.34759336427811
240.11700151770157,262.368786572838,233.68488908619216,270.4932887997107,293.0760127640322,263.0718197521808,77.58993841541408,84.13163140082115,75.46663169110975
233.00615958859953,254.63570620816435,226.77014667482038,274.2771649521477,297.37540495147067,266.74648757354254,80.84601303728587,87.71113882298984,78.6317781909795
226.01439099403183,247.02358562478528,219.97092666115148,277.9022377137366,301.4918815437302,270.2690344467692,84.14709891218013,91.33964140830008,81.84120269531563
219.14742935862105,239.54016576404783,213.29270980202236,281.3643178804148,305.42104173553827,273.6351068110884,87.49127305421871,95.01493932849998,85.09301626554904
212.41044947338617,232.19239286331432,206.7404693743073,284.6598502651328,309.15922326023474,276.84098300532787,90.87656292701493,98.73478952311079,88.38527930817153
205.8080617182843,224.98643001516817,200.31865860560367,287.785909905115,312.7034913983662,279.8835706452613,94.3009542468302,102.49691381060283,91.71600965476881
199.34431034463685,217.92767176785648,194.03120300600983,290.74019453714254,316.051624135869,282.76040006405964,97.7623987107927,106.29900688616107,95.08319054747248
193.02267763625977,211.02076413979464,187.8814991625525,293.52101141026236,319.20209154660483,285.46961189797196,101.25882160980242,110.13874413712078,98.48477845963126
186.8460919494692,204.2696278054236,181.87241807246787,296.12726047206644,322.1540315623592,288.0099409246612,104.78812926541607,114.01378924295378,101.91871070518316
180.81694024951537,197.6774850979909,176.006313732785,298.55841335120897,324.90722163571417,290.380695424382,108.34821622737586,117.92180148757257,105.38291279345563
174.93708405620623,191.24688970929355,170.2850356135721,300.8144892828802,327.4620475139019,292.58173339707054,111.93697219641645,121.86044275572164,108.87530547493796
169.2078786167464,184.97975894846755,164.70994474206998,302.8960281685781,329.8194693073022,294.6134358709555,115.55228866771047,125.82738421411042,112.3938114640599
163.6301951562659,178.87740824248314,159.28193332632134,304.80406104745987,331.98098540281956,296.4766774628665,119.19206513641205,129.82031251460074,115.93636171077131
158.20444495890558,172.94058682920064,154.00144659051557,306.5400790807167,333.9485950322027,298.1727954178699,122.85421502713054,133.83693569572293,119.50090136773586
152.93060486716195,167.1695141769218,148.8685063312878,308.1060015266635,335.7247600869065,299.7035576291343,126.53667127859046,137.874988717051,123.08539538628318
147.80824521123284,161.56391787327416,143.88273706576464,309.5041419788449,337.3123659755188,301.0711288374244,130.23739128684215,141.93223831638272,126.68783345471591
142.83655784940117,156.12307126409635,139.04339283354946,310.7371745988582,338.7146822717769,302.2780367152155,133.9543617900963,146.00648779616571,130.30623488084098
138.0143848870314,150.84583068965424,134.349384480033,311.80810053505803,339.9353245349907,303.3271382957507,137.68560295295683,150.09558099174177,133.9386526327838
133.3402480388959,145.7306730307261,129.7993080317638,312.72021382741065,340.9782154902037,304.2215857798763,141.42917236945345,154.1974061387173,137.58317729295322
128.81237726077745,140.7757316599972,125.391472334631,313.4770687094086,341.84754831005665,304.9647937903141,145.1831684423253,158.30989910963171,141.23794038285837
124.42873935287481,135.97883180009117,121.12392684429844,314.0824473356731,342.5477506149581,305.5604070321031,148.94573340722644,162.43104628734855,144.90111732542672
120.18706630214292,131.3375251493114,116.9944893457648,314.54032809713027,343.08344924749525,306.0122685235821,152.71505607243049,166.55888714700012,148.57093011514306
116.08488154896848,126.84912164734332,113.00077146691187,314.85485664908487,343.4594384480693,306.32439064983964,156.48937396259362,170.6915162379135,152.2456493892759
112.11952718295306,122.51072187529239,109.14020547454922,315.03031614110216,343.6806472196463,306.5009252745458,160.26697536972338,174.827085051969,155.92359641021915
108.28818781366817,118.31924545982808,105.41006756135513,315.0711013945219,343.7521112276848,306.54613795943914,164.0462008109345,178.96380332089254,159.60314445167626
104.5879150840302,114.27145978198527,101.8075019805627,314.98169262096695,343.6789443269244,306.4643816832561,167.8254443421018,183.09994015389285,163.28272002628023
101.01564969528776,110.36400571830136,98.32954266346867,314.7666320464938,343.46631337207253,306.26007349570983,171.60315448133923,187.23382479031528,166.96080373701207
97.568242204287,106.5934217527532,94.97313367621867,314.43050207343464,343.11941482298266,305.9376726959245,175.37783485038065,191.36384707013704,170.63593085388212
94.24247322994395,102.95616716642549,91.73514919175031,313.977904266233,342.6434523388713,305.50165981258425,179.1480446110247,195.4884576976556,174.30669168551188
91.03507066310915,99.44864187192915,88.61241035331186,313.41344168080906,342.0436180089831,304.95651901912026,182.91239857890713,199.6061681935844,177.97173163024627
87.94272731603508,96.06720637000454,85.60170272915222,312.74170092642225,341.3250734602652,304.3067202266599,186.6695671951711,203.7155506910303,181.6297510852599
84.96211545069589,92.80819834304262,82.69979059266022,311.96723761542745,340.49293454869303,303.5567045869291,190.41827624519064,207.81523749761155,185.27950511974993
82.08990115474323,89.66794879845098,79.90343112304966,311.0945621482512,339.55225653967,302.71087033749563,194.15730642034274,211.90392049747535,188.9198029805216
79.32275681676302,86.64279611099695,77.20938669783678,310.12812757742904,338.50802150488204,301.7735607267922,197.885492719098,215.98035039752816,192.54950744867423
76.65737227132279,83.72909851934446,74.61443587802079,309.0723189704301,337.3651273558929,300.7490534239608,201.6017236979981,220.04333582561839,196.16753405741215
74.0904652606994,80.92324571545643,72.11538376218745,307.93144360533984,336.1283778379415,299.6415507428126,205.30494059213746,224.091742298704,199.77285018472176
71.61878995525387,78.22166839656254,69.70907036246437,306.7097232039415,334.802474618816,298.45517193299935,208.99413635110875,228.1244911179987,203.36447406085534
69.23914518112421,75.62084727191068,67.39237872708244,305.41128660962863,333.39200997304204,297.1939459227256,212.66835454389673,232.14055812872905,206.94147364186102
66.9483810178693,73.11732040067085,65.16224144357017,304.0401641397633,331.90146115759177,295.86180569442354,216.32668822743685,236.13897245209938,210.5029654665752
64.7434047916442,70.7076897322523,63.01564656479277,302.6002826661767,330.3351856275802,294.46258339381427,219.96827870747444,240.1188151122014,214.0481134040641
62.62118608498113,68.38862658899208,60.94964255346493,301.0954617193264,328.697417311236,293.00000645944743,223.59231426991235,244.07921763724474,217.57612737539537
60.57876088010575,66.1568761914515,58.961342366241745,299.5294105102739,326.99226385092504,291.4776946643,227.19802887221772,248.01936062357998,221.08626204090476
58.61323508102427,64.0092614291684,57.047926937420556,297.9057256536251,325.2237046213478,289.89915784835046,230.7847007678962,251.93847223474697,224.5778154264207
56.72178723967213,61.94268583561714,55.20664787191383,296.2278896613131,323.3955894991135,288.2677944124063,234.35165116141235,255.8358267378609,228.05012758069117
54.901670706808225,59.95413582427034,53.43482956782863,294.4992701136233,321.5116384096112,286.5868905104017,237.89824277484524,259.71074295285825,231.50257913975364
53.15021527069725,58.04068248679625,51.72987084294347,292.72311924899486,319.5754412234022,284.859619607004,241.42387851100972,263.5625828017972,234.93459000735547
51.46482827727064,56.19948277014683,50.08924604618681,290.90257412360256,317.5904582784105,283.0890426216343,244.92800007506395,267.39074981999994,238.345617987685
